[I 2024-01-24 00:15:23,237] Trial 0 finished with value: 0.33468249440193176 and parameters: {'embedding_dim': 208, 'lstm_units': 149, 'dropout_rate': 0.5, 'l2_reg': 9.184084994281843e-05, 'batch_size': 128, 'patience_for_early_stopping': 8}. Best is trial 0 with value: 0.33468249440193176.
[I 2024-01-24 00:15:52,160] Trial 1 finished with value: 0.3383280336856842 and parameters: {'embedding_dim': 400, 'lstm_units': 124, 'dropout_rate': 0.25, 'l2_reg': 0.00015310146807724924, 'batch_size': 128, 'patience_for_early_stopping': 5}. Best is trial 0 with value: 0.33468249440193176.
[I 2024-01-24 00:17:34,014] Trial 2 finished with value: 0.33086973428726196 and parameters: {'embedding_dim': 384, 'lstm_units': 98, 'dropout_rate': 0.5, 'l2_reg': 6.067034331418184e-05, 'batch_size': 32, 'patience_for_early_stopping': 10}. Best is trial 2 with value: 0.33086973428726196.
[I 2024-01-24 00:18:21,585] Trial 3 finished with value: 0.3155011534690857 and parameters: {'embedding_dim': 317, 'lstm_units': 136, 'dropout_rate': 0.5, 'l2_reg': 1.1607954488355207e-06, 'batch_size': 64, 'patience_for_early_stopping': 11}. Best is trial 3 with value: 0.3155011534690857.
[I 2024-01-24 00:19:03,025] Trial 4 finished with value: 0.34251680970191956 and parameters: {'embedding_dim': 317, 'lstm_units': 44, 'dropout_rate': 0.5, 'l2_reg': 0.0016545191957611854, 'batch_size': 128, 'patience_for_early_stopping': 7}. Best is trial 3 with value: 0.3155011534690857.
[I 2024-01-24 00:19:42,708] Trial 5 finished with value: 0.30650684237480164 and parameters: {'embedding_dim': 461, 'lstm_units': 126, 'dropout_rate': 0.25, 'l2_reg': 2.421886957152243e-06, 'batch_size': 64, 'patience_for_early_stopping': 7}. Best is trial 5 with value: 0.30650684237480164.
[I 2024-01-24 00:20:23,356] Trial 6 finished with value: 0.3165542185306549 and parameters: {'embedding_dim': 288, 'lstm_units': 197, 'dropout_rate': 0.25, 'l2_reg': 5.037859415960418e-06, 'batch_size': 64, 'patience_for_early_stopping': 7}. Best is trial 5 with value: 0.30650684237480164.
[I 2024-01-24 00:21:01,410] Trial 7 finished with value: 0.3321095407009125 and parameters: {'embedding_dim': 280, 'lstm_units': 147, 'dropout_rate': 0.5, 'l2_reg': 6.898120311339417e-05, 'batch_size': 128, 'patience_for_early_stopping': 7}. Best is trial 5 with value: 0.30650684237480164.
[I 2024-01-24 00:21:40,886] Trial 8 finished with value: 0.37876448035240173 and parameters: {'embedding_dim': 119, 'lstm_units': 39, 'dropout_rate': 0.25, 'l2_reg': 0.009123675165839831, 'batch_size': 64, 'patience_for_early_stopping': 8}. Best is trial 5 with value: 0.30650684237480164.
[I 2024-01-24 00:23:06,347] Trial 9 finished with value: 0.32296210527420044 and parameters: {'embedding_dim': 350, 'lstm_units': 130, 'dropout_rate': 0.25, 'l2_reg': 4.088649862686446e-05, 'batch_size': 32, 'patience_for_early_stopping': 11}. Best is trial 5 with value: 0.30650684237480164.
[I 2024-01-24 00:24:55,357] Trial 10 finished with value: 0.3141101896762848 and parameters: {'embedding_dim': 503, 'lstm_units': 255, 'dropout_rate': 0.25, 'l2_reg': 5.768279335479508e-06, 'batch_size': 16, 'patience_for_early_stopping': 5}. Best is trial 5 with value: 0.30650684237480164.
